modelA,modelB,lang,buyer_adv,seller_adv,nego_rounds,acceptance_rate
Claude-3-Haiku,Claude-3.5-Haiku,English,12.7586,7.2414,2.5862,1.0000
Claude-3-Haiku,Claude-3.5-Haiku,Gujarati,15.1786,4.8214,3.2857,1.0000
Claude-3-Haiku,Claude-3.5-Haiku,Hindi,12.7143,7.2857,3.4286,1.0000
Claude-3-Haiku,Claude-3.5-Haiku,Punjabi,12.5455,7.4545,3.7727,1.0000
Claude-3-Haiku,GPT-3.5,English,8.7500,11.2500,3.8571,1.0000
Claude-3-Haiku,GPT-3.5,Gujarati,12.0370,7.9630,3.7143,0.9643
Claude-3-Haiku,GPT-3.5,Hindi,6.3333,13.6667,3.4583,1.0000
Claude-3-Haiku,GPT-3.5,Punjabi,10.0000,10.0000,4.0500,1.0000
Claude-3-Haiku,GPT-4o,English,10.3333,9.6667,2.4333,1.0000
Claude-3-Haiku,GPT-4o,Gujarati,10.7931,9.2069,2.5517,1.0000
Claude-3-Haiku,GPT-4o,Hindi,9.6000,10.4000,2.6800,1.0000
Claude-3-Haiku,GPT-4o,Punjabi,10.2593,9.7407,2.5556,1.0000
Claude-3.5-Haiku,Claude-3-Haiku,English,10.8929,9.1071,2.2500,1.0000
Claude-3.5-Haiku,Claude-3-Haiku,Gujarati,12.0400,7.9600,2.7600,1.0000
Claude-3.5-Haiku,Claude-3-Haiku,Hindi,12.1429,7.8571,2.8571,1.0000
Claude-3.5-Haiku,Claude-3-Haiku,Punjabi,12.5556,7.4444,2.7407,1.0000
Claude-3.5-Haiku,GPT-3.5,English,11.9667,8.0333,5.6667,1.0000
Claude-3.5-Haiku,GPT-3.5,Gujarati,11.7692,8.2308,6.2857,0.9286
Claude-3.5-Haiku,GPT-3.5,Hindi,10.8621,9.1379,3.5172,1.0000
Claude-3.5-Haiku,GPT-3.5,Punjabi,11.6400,8.3600,6.0385,0.9615
Claude-3.5-Haiku,GPT-4o,English,11.7000,8.3000,2.2000,1.0000
Claude-3.5-Haiku,GPT-4o,Gujarati,11.0000,9.0000,2.1333,1.0000
Claude-3.5-Haiku,GPT-4o,Hindi,13.6000,6.4000,2.2667,1.0000
Claude-3.5-Haiku,GPT-4o,Punjabi,12.6667,7.3333,2.5000,1.0000
GPT-3.5,Claude-3-Haiku,English,26.5333,-6.5333,2.1667,1.0000
GPT-3.5,Claude-3-Haiku,Gujarati,20.4348,-0.4348,2.5217,1.0000
GPT-3.5,Claude-3-Haiku,Hindi,23.8750,-3.8750,2.5833,1.0000
GPT-3.5,Claude-3-Haiku,Punjabi,21.4783,-1.4783,2.9565,1.0000
GPT-3.5,Claude-3.5-Haiku,English,28.1429,-8.1429,3.1429,1.0000
GPT-3.5,Claude-3.5-Haiku,Gujarati,22.0000,-2.0000,4.4348,1.0000
GPT-3.5,Claude-3.5-Haiku,Hindi,23.6364,-3.6364,4.0455,1.0000
GPT-3.5,Claude-3.5-Haiku,Punjabi,17.5556,2.4444,4.0370,1.0000
GPT-3.5,GPT-4o,English,27.8000,-7.8000,2.2333,1.0000
GPT-3.5,GPT-4o,Gujarati,21.1364,-1.1364,2.8636,1.0000
GPT-3.5,GPT-4o,Hindi,19.8500,0.1500,2.7500,1.0000
GPT-3.5,GPT-4o,Punjabi,24.8077,-4.8077,2.9615,1.0000
GPT-4o,Claude-3-Haiku,English,0.1667,19.8333,2.2667,1.0000
GPT-4o,Claude-3-Haiku,Gujarati,6.6667,13.3333,2.0667,1.0000
GPT-4o,Claude-3-Haiku,Hindi,5.0000,15.0000,2.4483,1.0000
GPT-4o,Claude-3-Haiku,Punjabi,0.4091,19.5909,2.6364,1.0000
GPT-4o,Claude-3.5-Haiku,English,0.0333,19.9667,2.8333,1.0000
GPT-4o,Claude-3.5-Haiku,Gujarati,4.5333,15.4667,2.7000,1.0000
GPT-4o,Claude-3.5-Haiku,Hindi,5.8000,14.2000,3.1667,1.0000
GPT-4o,Claude-3.5-Haiku,Punjabi,4.2667,15.7333,2.6667,1.0000
GPT-4o,GPT-3.5,English,0.8824,19.1176,5.7037,0.6296
GPT-4o,GPT-3.5,Gujarati,3.4643,16.5357,4.5517,0.9655
GPT-4o,GPT-3.5,Hindi,4.6000,15.4000,3.3667,1.0000
GPT-4o,GPT-3.5,Punjabi,3.9259,16.0741,4.3929,0.9643
