Metric,Comparison,Mean_Diff,Cohens_d,Effect_Size,p_value
Acceptance Rate,English vs Gujarati,-0.016000000000000014,-0.10879237460627633,negligible,
Acceptance Rate,English vs Hindi,-0.02980000000000005,-0.24008113726423272,small,
Acceptance Rate,English vs Marwadi,-0.01640000000000008,-0.11225681702608416,negligible,
Acceptance Rate,English vs Punjabi,-0.024700000000000055,-0.183314539816429,negligible,
Acceptance Rate,Gujarati vs Hindi,-0.013800000000000034,-0.16515407921576183,negligible,
Acceptance Rate,Gujarati vs Marwadi,-0.00040000000000006697,-0.0034485181726917427,negligible,0.9919
Acceptance Rate,Gujarati vs Punjabi,-0.008700000000000041,-0.08880221785080034,negligible,0.0004
Acceptance Rate,Hindi vs Marwadi,0.013399999999999967,0.16152290452500975,negligible,
Acceptance Rate,Hindi vs Punjabi,0.005099999999999993,0.10255756127753919,negligible,0.0015
Acceptance Rate,Marwadi vs Punjabi,-0.008299999999999974,-0.08534398907307505,negligible,
Average Negotiation Rounds,English vs Gujarati,-0.23760000000000003,-0.12522753966821604,negligible,0.8444
Average Negotiation Rounds,English vs Hindi,0.0343,0.019899060435348438,negligible,0.9449
Average Negotiation Rounds,English vs Marwadi,-0.3802000000000003,-0.20749843918925148,small,0.1094
Average Negotiation Rounds,English vs Punjabi,-0.3528000000000002,-0.18848574776204888,negligible,0.032
Average Negotiation Rounds,Gujarati vs Hindi,0.27190000000000003,0.15521390003927035,negligible,0.4168
Average Negotiation Rounds,Gujarati vs Marwadi,-0.14260000000000028,-0.07659268595471307,negligible,0.6483
Average Negotiation Rounds,Gujarati vs Punjabi,-0.11520000000000019,-0.0604987345313799,negligible,0.3385
Average Negotiation Rounds,Hindi vs Marwadi,-0.4145000000000003,-0.24690512356254335,small,0.0174
Average Negotiation Rounds,Hindi vs Punjabi,-0.3871000000000002,-0.22588686152349977,small,0.004
Average Negotiation Rounds,Marwadi vs Punjabi,0.02740000000000009,0.014947311022214303,negligible,0.9827
Seller Advantage,English vs Gujarati,-1.1550999999999991,-0.09977342280901295,negligible,0.9979
Seller Advantage,English vs Hindi,-1.6615000000000002,-0.14525030914389292,negligible,0.9999
Seller Advantage,English vs Marwadi,-4.422000000000001,-0.36047457794691,small,0.0085
Seller Advantage,English vs Punjabi,-2.052199999999999,-0.17402328485979246,negligible,0.1861
Seller Advantage,Gujarati vs Hindi,-0.5064000000000011,-0.049758010685430246,negligible,0.9998
Seller Advantage,Gujarati vs Marwadi,-3.2669000000000015,-0.2922445170832454,small,0.0277
Seller Advantage,Gujarati vs Punjabi,-0.8971,-0.08501858348573185,negligible,0.3471
Seller Advantage,Hindi vs Marwadi,-2.7605000000000004,-0.250452651703229,small,0.0185
Seller Advantage,Hindi vs Punjabi,-0.39069999999999894,-0.03772056971790151,negligible,0.2724
Seller Advantage,Marwadi vs Punjabi,2.3698000000000015,0.2081237214914116,small,0.8549
Buyer Advantage,English vs Gujarati,1.1550999999999991,0.09977342280901295,negligible,0.9982
Buyer Advantage,English vs Hindi,1.6615000000000002,0.14525030914389292,negligible,0.3216
Buyer Advantage,English vs Marwadi,4.422000000000001,0.36047457794691,small,0.0002
Buyer Advantage,English vs Punjabi,2.052199999999999,0.17402328485979246,negligible,0.131
Buyer Advantage,Gujarati vs Hindi,0.5064000000000011,0.049758010685430246,negligible,0.5202
Buyer Advantage,Gujarati vs Marwadi,3.2669000000000015,0.2922445170832454,small,0.001
Buyer Advantage,Gujarati vs Punjabi,0.8971,0.08501858348573185,negligible,0.2584
Buyer Advantage,Hindi vs Marwadi,2.7605000000000004,0.250452651703229,small,0.1538
Buyer Advantage,Hindi vs Punjabi,0.39069999999999894,0.03772056971790151,negligible,0.99
Buyer Advantage,Marwadi vs Punjabi,-2.3698000000000015,-0.2081237214914116,small,0.3972
Win Rate (Player 1),English vs Gujarati,0.07689999999999997,,undefined,
Win Rate (Player 1),English vs Hindi,0.027099999999999957,,undefined,
Win Rate (Player 1),English vs Marwadi,-0.11080000000000001,,undefined,
Win Rate (Player 1),English vs Punjabi,0.0232,,undefined,
Win Rate (Player 1),Gujarati vs Hindi,-0.04980000000000001,,undefined,
Win Rate (Player 1),Gujarati vs Marwadi,-0.18769999999999998,,undefined,
Win Rate (Player 1),Gujarati vs Punjabi,-0.05369999999999997,,undefined,
Win Rate (Player 1),Hindi vs Marwadi,-0.13789999999999997,,undefined,
Win Rate (Player 1),Hindi vs Punjabi,-0.003899999999999959,,undefined,
Win Rate (Player 1),Marwadi vs Punjabi,0.134,,undefined,
Draw Rate,English vs Gujarati,-0.0010000000000000009,,undefined,
Draw Rate,English vs Hindi,-0.016699999999999993,,undefined,
Draw Rate,English vs Marwadi,0.07119999999999999,,undefined,
Draw Rate,English vs Punjabi,0.0875,,undefined,
Draw Rate,Gujarati vs Hindi,-0.015699999999999992,,undefined,
Draw Rate,Gujarati vs Marwadi,0.07219999999999999,,undefined,
Draw Rate,Gujarati vs Punjabi,0.0885,,undefined,
Draw Rate,Hindi vs Marwadi,0.08789999999999998,,undefined,
Draw Rate,Hindi vs Punjabi,0.10419999999999999,,undefined,
Draw Rate,Marwadi vs Punjabi,0.01630000000000001,,undefined,
