Metric,Comparison,Mean_Diff,Cohens_d,Effect_Size,p_value
Acceptance Rate,Gujarati vs Punjabi,-0.008700000000000041,-0.08880221785080034,negligible,0.0004
Acceptance Rate,Hindi vs Punjabi,0.005099999999999993,0.10255756127753919,negligible,0.0015
Average Negotiation Rounds,English vs Punjabi,-0.3528000000000002,-0.18848574776204888,negligible,0.032
Average Negotiation Rounds,Hindi vs Marwadi,-0.4145000000000003,-0.24690512356254335,small,0.0174
Average Negotiation Rounds,Hindi vs Punjabi,-0.3871000000000002,-0.22588686152349977,small,0.004
Seller Advantage,English vs Marwadi,-4.422000000000001,-0.36047457794691,small,0.0085
Seller Advantage,Gujarati vs Marwadi,-3.2669000000000015,-0.2922445170832454,small,0.0277
Seller Advantage,Hindi vs Marwadi,-2.7605000000000004,-0.250452651703229,small,0.0185
Buyer Advantage,English vs Marwadi,4.422000000000001,0.36047457794691,small,0.0002
Buyer Advantage,Gujarati vs Marwadi,3.2669000000000015,0.2922445170832454,small,0.001
