modelA,modelB,language,trade_volume,player1_payoff,player2_payoff,nego_rounds
Claude-3-Haiku,Claude-3.5-Haiku,English,17.1429,27.1429,32.8571,2.2857
Claude-3-Haiku,Claude-3.5-Haiku,Gujarati,26.0000,29.6522,30.3478,2.7826
Claude-3-Haiku,Claude-3.5-Haiku,Hindi,22.7619,28.4762,31.5238,3.0476
Claude-3-Haiku,Claude-3.5-Haiku,Punjabi,22.2222,29.2593,30.7407,2.6667
Claude-3-Haiku,GPT-3.5,English,17.7143,32.0000,28.0000,4.4286
Claude-3-Haiku,GPT-3.5,Gujarati,28.6250,27.8750,32.1250,3.5000
Claude-3-Haiku,GPT-3.5,Hindi,27.5000,29.1667,30.8333,4.1667
Claude-3-Haiku,GPT-3.5,Punjabi,17.5000,28.3000,31.7000,3.8000
Claude-3-Haiku,GPT-4o,English,17.3529,27.3529,32.6471,2.0588
Claude-3-Haiku,GPT-4o,Gujarati,20.9375,29.4375,30.5625,2.8750
Claude-3-Haiku,GPT-4o,Hindi,23.0000,30.7647,29.2353,2.7059
Claude-3-Haiku,GPT-4o,Punjabi,21.2963,29.5185,30.4815,2.3704
Claude-3.5-Haiku,Claude-3-Haiku,English,20.0690,29.9310,30.0690,3.2069
Claude-3.5-Haiku,Claude-3-Haiku,Gujarati,23.0000,28.9310,31.0690,4.0345
Claude-3.5-Haiku,Claude-3-Haiku,Hindi,22.6296,29.8148,30.1852,4.0000
Claude-3.5-Haiku,Claude-3-Haiku,Punjabi,21.7931,29.9310,30.0690,4.1379
Claude-3.5-Haiku,GPT-3.5,English,20.5556,28.1111,31.8889,4.1111
Claude-3.5-Haiku,GPT-3.5,Gujarati,16.8000,30.8000,29.2000,4.2000
Claude-3.5-Haiku,GPT-3.5,Hindi,17.9375,30.4375,29.5625,4.2500
Claude-3.5-Haiku,GPT-3.5,Punjabi,19.2353,29.1176,30.8824,4.2353
Claude-3.5-Haiku,GPT-4o,English,19.5714,29.5714,30.4286,2.0357
Claude-3.5-Haiku,GPT-4o,Gujarati,18.2667,28.6000,31.4000,2.0667
Claude-3.5-Haiku,GPT-4o,Hindi,18.8667,28.9333,31.0667,2.1000
Claude-3.5-Haiku,GPT-4o,Punjabi,19.2667,29.3333,30.6667,2.0667
GPT-3.5,Claude-3-Haiku,English,17.8462,30.0000,30.0000,3.6923
GPT-3.5,Claude-3-Haiku,Gujarati,18.2500,28.6500,31.3500,4.0500
GPT-3.5,Claude-3-Haiku,Hindi,18.2500,30.0000,30.0000,3.8125
GPT-3.5,Claude-3-Haiku,Punjabi,19.3684,28.5263,31.4737,3.9474
GPT-3.5,Claude-3.5-Haiku,English,11.9565,30.4783,29.5217,2.6957
GPT-3.5,Claude-3.5-Haiku,Gujarati,14.7308,28.7308,31.2692,2.5769
GPT-3.5,Claude-3.5-Haiku,Hindi,17.4762,27.9524,32.0476,2.5714
GPT-3.5,Claude-3.5-Haiku,Punjabi,16.6364,29.3636,30.6364,2.8182
GPT-3.5,GPT-4o,English,10.6667,29.5556,30.4444,2.0000
GPT-3.5,GPT-4o,Gujarati,13.4783,29.3043,30.6957,2.5217
GPT-3.5,GPT-4o,Hindi,14.9231,29.4615,30.5385,2.5000
GPT-3.5,GPT-4o,Punjabi,13.3077,28.9231,31.0769,2.2692
GPT-4o,Claude-3-Haiku,English,17.7857,30.5000,29.5000,3.7857
GPT-4o,Claude-3-Haiku,Gujarati,19.4074,30.5185,29.4815,3.7407
GPT-4o,Claude-3-Haiku,Hindi,18.3846,30.4615,29.5385,3.5769
GPT-4o,Claude-3-Haiku,Punjabi,19.8966,30.5862,29.4138,3.0000
GPT-4o,Claude-3.5-Haiku,English,18.4000,29.7333,30.2667,2.2000
GPT-4o,Claude-3.5-Haiku,Gujarati,19.8667,30.0000,30.0000,2.0333
GPT-4o,Claude-3.5-Haiku,Hindi,20.2414,30.2414,29.7586,2.2069
GPT-4o,Claude-3.5-Haiku,Punjabi,19.9000,29.9000,30.1000,2.0667
GPT-4o,GPT-3.5,English,18.2143,29.7857,30.2143,2.6429
GPT-4o,GPT-3.5,Gujarati,20.2500,29.7500,30.2500,2.6667
GPT-4o,GPT-3.5,Hindi,18.3333,28.3333,31.6667,2.6667
GPT-4o,GPT-3.5,Punjabi,18.9231,30.1538,29.8462,3.0000
