metric,pair,n1_actual,n2_actual,effect_size,effect_label,power_at_n,power_verdict,target_n,alpha,test_type
Trade Volume,English vs Gujarati,94,78,0.5247,medium,0.5154,low,30,0.05,continuous (Cohen's d)
Trade Volume,English vs Hindi,94,70,0.5239,medium,0.5142,low,30,0.05,continuous (Cohen's d)
Trade Volume,English vs Marwadi,94,81,0.6534,medium,0.7014,low,30,0.05,continuous (Cohen's d)
Trade Volume,English vs Punjabi,94,96,0.3745,small,0.2972,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Gujarati vs Hindi,78,70,0.0619,negligible,0.0564,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Gujarati vs Marwadi,78,81,0.0738,negligible,0.0591,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Gujarati vs Punjabi,78,96,0.2097,small,0.1257,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Hindi vs Marwadi,70,81,0.1486,negligible,0.0875,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Hindi vs Punjabi,70,96,0.1631,negligible,0.0953,very low,30,0.05,continuous (Cohen's d)
Trade Volume,Marwadi vs Punjabi,81,96,0.3119,small,0.2209,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,English vs Gujarati,94,78,0.1564,negligible,0.0915,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,English vs Hindi,94,70,0.2561,small,0.1641,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,English vs Marwadi,94,81,0.0717,negligible,0.0586,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,English vs Punjabi,94,96,0.2141,small,0.1289,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Gujarati vs Hindi,78,70,0.0917,negligible,0.0641,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Gujarati vs Marwadi,78,81,0.2065,small,0.1233,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Gujarati vs Punjabi,78,96,0.0269,negligible,0.0512,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Hindi vs Marwadi,70,81,0.2958,small,0.2034,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Hindi vs Punjabi,70,96,0.0802,negligible,0.0608,very low,30,0.05,continuous (Cohen's d)
Player 1 Payoff,Marwadi vs Punjabi,81,96,0.2686,small,0.1759,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,English vs Gujarati,94,78,0.1564,negligible,0.0915,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,English vs Hindi,94,70,0.2561,small,0.1641,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,English vs Marwadi,94,81,0.0717,negligible,0.0586,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,English vs Punjabi,94,96,0.2141,small,0.1289,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Gujarati vs Hindi,78,70,0.0917,negligible,0.0641,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Gujarati vs Marwadi,78,81,0.2065,small,0.1233,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Gujarati vs Punjabi,78,96,0.0269,negligible,0.0512,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Hindi vs Marwadi,70,81,0.2958,small,0.2034,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Hindi vs Punjabi,70,96,0.0802,negligible,0.0608,very low,30,0.05,continuous (Cohen's d)
Player 2 Payoff,Marwadi vs Punjabi,81,96,0.2686,small,0.1759,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,English vs Gujarati,98,83,0.1033,negligible,0.0679,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,English vs Hindi,98,76,0.2172,small,0.1313,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,English vs Marwadi,98,88,0.3087,small,0.2174,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,English vs Punjabi,98,106,0.0581,negligible,0.0556,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Gujarati vs Hindi,83,76,0.1153,negligible,0.0724,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Gujarati vs Marwadi,83,88,0.2078,small,0.1243,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Gujarati vs Punjabi,83,106,0.0409,negligible,0.0528,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Hindi vs Marwadi,76,88,0.0923,negligible,0.0643,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Hindi vs Punjabi,76,106,0.1509,negligible,0.0887,very low,30,0.05,continuous (Cohen's d)
Negotiation Rounds,Marwadi vs Punjabi,88,106,0.2405,small,0.1503,very low,30,0.05,continuous (Cohen's d)
Acceptance Rate,English vs Gujarati,98,83,0.0891,negligible,0.0637,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,English vs Hindi,98,76,0.1628,negligible,0.0966,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,English vs Marwadi,98,88,0.165,negligible,0.0979,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,English vs Punjabi,98,106,0.2175,small,0.1344,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Gujarati vs Hindi,83,76,0.0737,negligible,0.0594,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Gujarati vs Marwadi,83,88,0.0759,negligible,0.06,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Gujarati vs Punjabi,83,106,0.1284,negligible,0.0788,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Hindi vs Marwadi,76,88,0.0022,negligible,0.05,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Hindi vs Punjabi,76,106,0.0548,negligible,0.0552,very low,30,0.05,binary proportion (Cohen's h)
Acceptance Rate,Marwadi vs Punjabi,88,106,0.0526,negligible,0.0548,very low,30,0.05,binary proportion (Cohen's h)
