Player 1,Player 2,Behavior,Games,Win Rate,Acceptance Rate,Avg Payoff P1,Avg Payoff P2,Avg Initial Offer
Claude-3-Haiku,Claude-3.5-Haiku,Gujarati,5,1.000,1.000,100.0,0.0,0.0
Claude-3-Haiku,GPT-3.5,Gujarati,1,1.000,1.000,70.0,30.0,30.0
Claude-3-Haiku,GPT-4o,Gujarati,5,1.000,1.000,100.0,0.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Gujarati,4,1.000,0.750,57.5,17.5,23.8
Claude-3.5-Haiku,GPT-3.5,Gujarati,5,1.000,1.000,86.0,14.0,16.0
Claude-3.5-Haiku,GPT-4o,Gujarati,5,1.000,1.000,71.0,29.0,29.0
GPT-3.5,Claude-3-Haiku,Gujarati,5,0.500,0.800,51.0,29.0,59.0
GPT-3.5,Claude-3.5-Haiku,Gujarati,5,1.000,1.000,78.0,22.0,44.0
GPT-3.5,GPT-4o,Gujarati,4,1.000,1.000,52.5,47.5,47.5
GPT-4o,Claude-3-Haiku,Gujarati,5,1.000,1.000,92.0,8.0,8.0
GPT-4o,Claude-3.5-Haiku,Gujarati,5,1.000,1.000,70.0,30.0,30.0
GPT-4o,GPT-3.5,Gujarati,4,1.000,0.500,50.0,0.0,25.0
Claude-3-Haiku,Claude-3.5-Haiku,Hindi,4,1.000,1.000,100.0,0.0,0.0
Claude-3-Haiku,GPT-3.5,Hindi,4,1.000,0.500,50.0,0.0,0.0
Claude-3-Haiku,GPT-4o,Hindi,5,1.000,1.000,100.0,0.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Hindi,5,1.000,1.000,90.0,10.0,15.0
Claude-3.5-Haiku,GPT-3.5,Hindi,4,1.000,1.000,77.5,22.5,40.0
Claude-3.5-Haiku,GPT-4o,Hindi,5,1.000,1.000,90.0,10.0,10.0
GPT-3.5,Claude-3-Haiku,Hindi,5,1.000,0.800,64.0,16.0,42.0
GPT-3.5,Claude-3.5-Haiku,Hindi,5,1.000,1.000,84.0,16.0,42.0
GPT-3.5,GPT-4o,Hindi,5,0.000,1.000,28.0,72.0,72.0
GPT-4o,Claude-3-Haiku,Hindi,4,1.000,1.000,100.0,0.0,0.0
GPT-4o,Claude-3.5-Haiku,Hindi,5,1.000,1.000,100.0,0.0,0.0
GPT-4o,GPT-3.5,Hindi,5,1.000,0.800,80.0,0.0,0.0
Claude-3-Haiku,Claude-3.5-Haiku,Marwadi,5,1.000,1.000,100.0,0.0,0.0
Claude-3-Haiku,GPT-3.5,Marwadi,4,1.000,1.000,100.0,0.0,0.0
Claude-3-Haiku,GPT-4o,Marwadi,5,1.000,1.000,100.0,0.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Marwadi,5,1.000,0.800,59.0,21.0,28.0
Claude-3.5-Haiku,GPT-3.5,Marwadi,4,1.000,1.000,72.5,27.5,27.5
Claude-3.5-Haiku,GPT-4o,Marwadi,5,1.000,1.000,72.0,28.0,28.0
GPT-3.5,Claude-3-Haiku,Marwadi,5,0.750,1.000,55.0,45.0,50.0
GPT-3.5,Claude-3.5-Haiku,Marwadi,5,1.000,1.000,74.0,26.0,36.0
GPT-3.5,GPT-4o,Marwadi,5,1.000,1.000,61.0,39.0,50.0
GPT-4o,Claude-3-Haiku,Marwadi,5,1.000,1.000,96.0,4.0,4.0
GPT-4o,Claude-3.5-Haiku,Marwadi,5,1.000,1.000,100.0,0.0,0.0
GPT-4o,GPT-3.5,Marwadi,5,1.000,1.000,100.0,0.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Punjabi,5,1.000,1.000,86.0,14.0,24.0
Claude-3.5-Haiku,GPT-3.5,Punjabi,5,1.000,0.600,60.0,0.0,6.0
Claude-3.5-Haiku,GPT-4o,Punjabi,5,1.000,1.000,66.0,34.0,34.0
GPT-3.5,Claude-3-Haiku,Punjabi,2,1.000,1.000,65.0,35.0,50.0
GPT-3.5,Claude-3.5-Haiku,Punjabi,5,1.000,1.000,55.0,45.0,50.0
GPT-3.5,GPT-4o,Punjabi,5,1.000,1.000,76.0,24.0,34.0
GPT-4o,Claude-3-Haiku,Punjabi,4,1.000,1.000,87.5,12.5,12.5
GPT-4o,Claude-3.5-Haiku,Punjabi,5,1.000,1.000,94.0,6.0,6.0
GPT-4o,GPT-3.5,Punjabi,5,1.000,1.000,94.0,6.0,6.0
