model1,model2,n,acceptance_rate,rejection_rate,timeout_rate,avg_p1_payoff_accept,avg_p2_payoff_accept,avg_p1_payoff_overall,avg_p2_payoff_overall
GPT-4o,GPT-4o,0,,,,,,,
GPT-4o,GPT-3.5,30,0.3,0.06666666666666667,0.6333333333333333,79.44444444444444,40.55555555555556,67.16666666666667,12.166666666666666
GPT-4o,Claude-3-Haiku,30,0.6666666666666666,0.3333333333333333,0.0,87.25,43.75,91.5,29.166666666666668
GPT-4o,Claude-3.5-Haiku,30,0.6666666666666666,0.03333333333333333,0.3,77.5,45.0,55.0,30.0
GPT-3.5,GPT-4o,30,0.8666666666666667,0.06666666666666667,0.06666666666666667,57.69230769230769,42.30769230769231,60.0,36.666666666666664
GPT-3.5,GPT-3.5,0,,,,,,,
GPT-3.5,Claude-3-Haiku,30,0.4,0.6,0.0,64.58333333333333,35.416666666666664,85.83333333333333,14.166666666666666
GPT-3.5,Claude-3.5-Haiku,30,0.8333333333333334,0.0,0.16666666666666666,68.12,33.88,56.766666666666666,28.233333333333334
Claude-3-Haiku,GPT-4o,30,1.0,0.0,0.0,100.0,42.766666666666666,100.0,42.766666666666666
Claude-3-Haiku,GPT-3.5,30,0.7666666666666667,0.0,0.23333333333333334,100.8695652173913,35.869565217391305,100.66666666666667,27.5
Claude-3-Haiku,Claude-3-Haiku,0,,,,,,,
Claude-3-Haiku,Claude-3.5-Haiku,30,0.9333333333333333,0.06666666666666667,0.0,98.21428571428571,36.07142857142857,98.33333333333333,33.666666666666664
Claude-3.5-Haiku,GPT-4o,30,1.0,0.0,0.0,81.66666666666667,41.5,81.66666666666667,41.5
Claude-3.5-Haiku,GPT-3.5,30,0.5,0.03333333333333333,0.4666666666666667,87.33333333333333,34.0,80.33333333333333,17.0
Claude-3.5-Haiku,Claude-3-Haiku,30,0.6666666666666666,0.3333333333333333,0.0,88.0,36.25,92.0,24.166666666666668
Claude-3.5-Haiku,Claude-3.5-Haiku,0,,,,,,,
