Metric,Model_Combination,Behavior,Value
Acceptance Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Baseline,1.0
Acceptance Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Gujarati,1.0
Acceptance Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Hindi,1.0
Acceptance Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Marwadi,1.0
Acceptance Rate,Claude-3-Haiku_vs_Claude-3.5-Haiku,Punjabi,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-3.5,Baseline,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-3.5,Gujarati,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-3.5,Hindi,0.6666666666666666
Acceptance Rate,Claude-3-Haiku_vs_GPT-3.5,Marwadi,0.875
Acceptance Rate,Claude-3-Haiku_vs_GPT-3.5,Punjabi,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-4o,Baseline,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-4o,Gujarati,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-4o,Hindi,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-4o,Marwadi,1.0
Acceptance Rate,Claude-3-Haiku_vs_GPT-4o,Punjabi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Baseline,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Gujarati,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Hindi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Marwadi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_Claude-3-Haiku,Punjabi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-3.5,Baseline,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-3.5,Gujarati,0.7777777777777778
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-3.5,Hindi,0.5555555555555556
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-3.5,Marwadi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-3.5,Punjabi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-4o,Baseline,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-4o,Gujarati,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-4o,Hindi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-4o,Marwadi,1.0
Acceptance Rate,Claude-3.5-Haiku_vs_GPT-4o,Punjabi,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3-Haiku,Baseline,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3-Haiku,Gujarati,0.5555555555555556
Acceptance Rate,GPT-3.5_vs_Claude-3-Haiku,Hindi,0.5555555555555556
Acceptance Rate,GPT-3.5_vs_Claude-3-Haiku,Marwadi,0.8
Acceptance Rate,GPT-3.5_vs_Claude-3-Haiku,Punjabi,0.7777777777777778
Acceptance Rate,GPT-3.5_vs_Claude-3.5-Haiku,Baseline,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3.5-Haiku,Gujarati,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3.5-Haiku,Hindi,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3.5-Haiku,Marwadi,1.0
Acceptance Rate,GPT-3.5_vs_Claude-3.5-Haiku,Punjabi,1.0
Acceptance Rate,GPT-3.5_vs_GPT-4o,Baseline,0.9
Acceptance Rate,GPT-3.5_vs_GPT-4o,Gujarati,0.875
Acceptance Rate,GPT-3.5_vs_GPT-4o,Hindi,1.0
