Player 1,Player 2,Behavior,Games,Win Rate,Acceptance Rate,Avg Payoff P1,Avg Payoff P2,Avg Initial Offer
Claude-3-Haiku,Claude-3.5-Haiku,Baseline,10,1.000,1.000,56.0,44.0,0.0
Claude-3-Haiku,GPT-3.5,Baseline,9,1.000,1.000,62.2,37.8,4.4
Claude-3-Haiku,GPT-4o,Baseline,10,1.000,1.000,56.0,44.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Baseline,9,0.857,1.000,69.4,30.6,13.3
Claude-3.5-Haiku,GPT-3.5,Baseline,7,1.000,1.000,69.3,30.7,15.0
Claude-3.5-Haiku,GPT-4o,Baseline,10,1.000,1.000,56.0,44.0,24.0
GPT-3.5,Claude-3-Haiku,Baseline,10,1.000,1.000,68.0,32.0,38.0
GPT-3.5,Claude-3.5-Haiku,Baseline,10,1.000,1.000,57.0,43.0,48.0
GPT-3.5,GPT-4o,Baseline,10,0.000,0.900,44.0,46.0,51.0
GPT-4o,Claude-3-Haiku,Baseline,10,0.625,1.000,55.0,45.0,20.5
GPT-4o,Claude-3.5-Haiku,Baseline,10,0.714,1.000,55.0,45.0,15.0
GPT-4o,GPT-3.5,Baseline,9,0.857,0.889,57.8,31.1,26.7
Claude-3-Haiku,Claude-3.5-Haiku,Gujarati,7,0.000,1.000,46.4,53.6,0.0
Claude-3-Haiku,GPT-3.5,Gujarati,8,1.000,1.000,61.2,38.8,0.0
Claude-3-Haiku,GPT-4o,Gujarati,10,0.250,1.000,42.0,58.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Gujarati,9,1.000,1.000,70.0,30.0,14.4
Claude-3.5-Haiku,GPT-3.5,Gujarati,9,1.000,0.778,56.1,21.7,27.2
Claude-3.5-Haiku,GPT-4o,Gujarati,10,1.000,1.000,56.5,43.5,14.5
GPT-3.5,Claude-3-Haiku,Gujarati,9,0.800,0.556,37.2,18.3,45.0
GPT-3.5,Claude-3.5-Haiku,Gujarati,10,0.750,1.000,73.9,26.1,46.1
GPT-3.5,GPT-4o,Gujarati,8,0.000,0.875,26.2,61.2,67.5
GPT-4o,Claude-3-Haiku,Gujarati,10,0.833,1.000,56.5,43.5,21.0
GPT-4o,Claude-3.5-Haiku,Gujarati,10,0.625,1.000,54.0,46.0,14.0
GPT-4o,GPT-3.5,Gujarati,6,0.333,0.833,40.0,43.3,25.0
Claude-3-Haiku,Claude-3.5-Haiku,Hindi,10,0.667,1.000,53.0,47.0,0.0
Claude-3-Haiku,GPT-3.5,Hindi,9,1.000,0.667,40.0,26.7,2.2
Claude-3-Haiku,GPT-4o,Hindi,10,1.000,1.000,54.5,45.5,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Hindi,9,1.000,1.000,73.3,26.7,8.3
Claude-3.5-Haiku,GPT-3.5,Hindi,9,0.500,0.556,28.9,26.7,7.8
Claude-3.5-Haiku,GPT-4o,Hindi,10,1.000,1.000,54.5,45.5,25.5
GPT-3.5,Claude-3-Haiku,Hindi,9,1.000,0.556,37.8,17.8,37.8
GPT-3.5,Claude-3.5-Haiku,Hindi,9,1.000,1.000,77.2,22.8,42.2
GPT-3.5,GPT-4o,Hindi,9,0.375,1.000,39.4,60.6,53.9
GPT-4o,Claude-3-Haiku,Hindi,9,1.000,0.889,56.1,32.8,5.6
GPT-4o,Claude-3.5-Haiku,Hindi,10,0.800,1.000,58.5,41.5,8.0
GPT-4o,GPT-3.5,Hindi,10,1.000,0.800,45.5,34.5,0.0
Claude-3-Haiku,Claude-3.5-Haiku,Marwadi,10,0.857,1.000,64.7,35.3,0.0
Claude-3-Haiku,GPT-3.5,Marwadi,8,1.000,0.875,51.2,36.2,0.0
Claude-3-Haiku,GPT-4o,Marwadi,10,0.400,1.000,52.5,47.5,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Marwadi,8,0.875,1.000,72.9,27.1,15.0
Claude-3.5-Haiku,GPT-3.5,Marwadi,9,1.000,1.000,69.4,30.6,5.0
Claude-3.5-Haiku,GPT-4o,Marwadi,10,0.857,1.000,56.7,43.3,4.5
GPT-3.5,Claude-3-Haiku,Marwadi,10,1.000,0.800,65.0,15.0,35.1
GPT-3.5,Claude-3.5-Haiku,Marwadi,10,0.333,1.000,45.5,54.5,55.5
GPT-3.5,GPT-4o,Marwadi,10,0.400,0.900,45.0,45.0,49.0
GPT-4o,Claude-3-Haiku,Marwadi,10,1.000,0.900,69.5,20.5,5.0
GPT-4o,Claude-3.5-Haiku,Marwadi,10,0.800,1.000,64.0,36.0,15.5
GPT-4o,GPT-3.5,Marwadi,9,0.857,0.889,56.7,32.2,22.2
Claude-3-Haiku,Claude-3.5-Haiku,Marwadi-NoLang,10,0.889,1.000,66.5,33.5,0.0
Claude-3-Haiku,GPT-3.5,Marwadi-NoLang,9,0.000,1.000,50.0,50.0,0.0
Claude-3-Haiku,GPT-4o,Marwadi-NoLang,10,0.333,1.000,49.5,50.5,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Marwadi-NoLang,10,0.900,1.000,75.5,24.5,20.0
Claude-3.5-Haiku,GPT-3.5,Marwadi-NoLang,8,1.000,1.000,70.6,29.4,23.1
Claude-3.5-Haiku,GPT-4o,Marwadi-NoLang,10,0.556,1.000,55.5,44.5,30.5
GPT-3.5,Claude-3-Haiku,Marwadi-NoLang,10,0.875,1.000,71.5,28.5,41.5
GPT-3.5,Claude-3.5-Haiku,Marwadi-NoLang,10,0.875,0.900,56.5,33.5,39.5
GPT-3.5,GPT-4o,Marwadi-NoLang,8,0.250,0.750,32.5,42.5,52.5
GPT-4o,Claude-3-Haiku,Marwadi-NoLang,10,1.000,1.000,68.5,31.5,10.0
GPT-4o,Claude-3.5-Haiku,Marwadi-NoLang,10,0.889,1.000,75.5,24.5,11.5
GPT-4o,GPT-3.5,Marwadi-NoLang,7,1.000,1.000,68.6,31.4,16.4
Claude-3-Haiku,Claude-3.5-Haiku,Punjabi,6,1.000,1.000,59.2,40.8,0.0
Claude-3-Haiku,GPT-3.5,Punjabi,3,0.500,1.000,51.7,48.3,0.0
Claude-3-Haiku,GPT-4o,Punjabi,5,1.000,1.000,59.0,41.0,0.0
Claude-3.5-Haiku,Claude-3-Haiku,Punjabi,10,0.700,1.000,70.5,29.5,24.0
Claude-3.5-Haiku,GPT-3.5,Punjabi,9,0.833,1.000,59.4,40.6,6.7
Claude-3.5-Haiku,GPT-4o,Punjabi,10,1.000,1.000,60.0,40.0,30.0
GPT-3.5,Claude-3-Haiku,Punjabi,9,0.833,0.778,55.0,22.8,35.6
GPT-3.5,Claude-3.5-Haiku,Punjabi,10,1.000,1.000,65.5,34.5,42.0
GPT-3.5,GPT-4o,Punjabi,10,0.750,0.900,48.0,42.0,47.0
GPT-4o,Claude-3-Haiku,Punjabi,10,0.500,1.000,50.0,50.0,27.0
GPT-4o,Claude-3.5-Haiku,Punjabi,9,0.714,1.000,59.4,40.6,16.1
GPT-4o,GPT-3.5,Punjabi,10,0.889,0.900,57.0,33.0,21.0
