Player 1,Player 2,Behavior,Games,Win Rate,Acceptance Rate,Avg Payoff P1,Avg Payoff P2,Avg Initial Offer
Claude-3-Haiku,Claude-3.5-Haiku,Baseline,30,0.433,1.000,59.0,41.0,43.2
Claude-3-Haiku,GPT-3.5,Baseline,30,0.400,0.867,58.7,38.0,44.7
Claude-3-Haiku,GPT-4o,Baseline,30,0.233,1.000,56.2,43.8,46.4
Claude-3.5-Haiku,Claude-3-Haiku,Baseline,30,0.833,0.900,67.4,25.9,36.7
Claude-3.5-Haiku,GPT-3.5,Baseline,30,0.433,0.900,60.8,39.2,40.8
Claude-3.5-Haiku,GPT-4o,Baseline,30,0.500,1.000,57.8,42.2,41.0
GPT-3.5,Claude-3-Haiku,Baseline,30,0.900,0.800,75.9,20.7,0.0
GPT-3.5,Claude-3.5-Haiku,Baseline,30,0.633,0.933,74.3,22.3,0.0
GPT-3.5,GPT-4o,Baseline,30,0.233,0.900,55.0,45.0,0.0
GPT-4o,Claude-3-Haiku,Baseline,30,0.667,1.000,61.5,38.5,40.0
GPT-4o,Claude-3.5-Haiku,Baseline,30,0.433,1.000,55.5,44.5,46.0
GPT-4o,GPT-3.5,Baseline,30,0.700,0.867,62.8,33.8,39.0
Claude-3-Haiku,Claude-3.5-Haiku,Gujarati,30,0.267,1.000,54.3,45.7,46.2
Claude-3-Haiku,GPT-3.5,Gujarati,30,0.300,0.567,55.3,28.0,44.0
Claude-3-Haiku,GPT-4o,Gujarati,30,0.233,0.967,49.5,47.2,45.9
Claude-3.5-Haiku,Claude-3-Haiku,Gujarati,30,0.667,0.867,63.8,29.6,37.5
Claude-3.5-Haiku,GPT-3.5,Gujarati,30,0.567,0.733,67.8,28.8,42.7
Claude-3.5-Haiku,GPT-4o,Gujarati,30,0.267,0.967,52.4,44.3,40.6
GPT-3.5,Claude-3-Haiku,Gujarati,30,0.567,0.733,62.0,24.7,50.0
GPT-3.5,Claude-3.5-Haiku,Gujarati,30,0.667,0.867,75.8,20.8,0.0
GPT-3.5,GPT-4o,Gujarati,30,0.400,0.900,56.2,40.5,0.0
GPT-4o,Claude-3-Haiku,Gujarati,30,0.500,0.900,56.5,40.2,43.7
GPT-4o,Claude-3.5-Haiku,Gujarati,30,0.500,0.967,51.7,45.0,46.2
GPT-4o,GPT-3.5,Gujarati,30,0.467,0.667,58.3,28.3,53.8
Claude-3-Haiku,Claude-3.5-Haiku,Hindi,30,0.367,1.000,56.7,43.3,46.5
Claude-3-Haiku,GPT-3.5,Hindi,30,0.600,0.767,69.0,31.0,43.7
Claude-3-Haiku,GPT-4o,Hindi,30,0.333,0.967,56.2,43.8,42.7
Claude-3.5-Haiku,Claude-3-Haiku,Hindi,30,0.833,0.967,67.7,29.0,41.9
Claude-3.5-Haiku,GPT-3.5,Hindi,30,0.600,0.700,67.7,29.0,44.5
Claude-3.5-Haiku,GPT-4o,Hindi,30,0.200,0.967,52.5,44.2,42.9
GPT-3.5,Claude-3-Haiku,Hindi,30,0.633,0.733,68.5,24.8,25.0
GPT-3.5,Claude-3.5-Haiku,Hindi,30,0.433,0.967,60.5,36.2,40.0
GPT-3.5,GPT-4o,Hindi,30,0.167,0.867,48.8,44.5,0.0
GPT-4o,Claude-3-Haiku,Hindi,30,0.333,0.933,50.2,43.2,54.2
GPT-4o,Claude-3.5-Haiku,Hindi,30,0.733,1.000,56.2,43.8,44.8
GPT-4o,GPT-3.5,Hindi,30,0.700,0.733,59.2,30.8,44.2
Claude-3-Haiku,Claude-3.5-Haiku,Punjabi,30,0.333,0.900,52.2,41.2,46.4
Claude-3-Haiku,GPT-3.5,Punjabi,30,0.600,0.633,68.5,21.5,39.8
Claude-3-Haiku,GPT-4o,Punjabi,30,0.200,0.900,51.7,41.7,42.1
Claude-3.5-Haiku,Claude-3-Haiku,Punjabi,30,0.800,0.733,80.7,19.3,25.5
Claude-3.5-Haiku,GPT-3.5,Punjabi,30,0.700,0.800,70.0,23.3,28.0
Claude-3.5-Haiku,GPT-4o,Punjabi,30,0.367,1.000,55.8,44.2,38.3
GPT-3.5,Claude-3-Haiku,Punjabi,30,0.767,0.700,71.8,21.5,0.0
GPT-3.5,Claude-3.5-Haiku,Punjabi,30,0.633,1.000,74.8,25.2,0.0
GPT-3.5,GPT-4o,Punjabi,30,0.433,0.833,58.7,38.0,0.0
GPT-4o,Claude-3-Haiku,Punjabi,30,0.467,0.967,56.8,43.2,39.4
GPT-4o,Claude-3.5-Haiku,Punjabi,30,0.600,1.000,56.7,43.3,43.2
GPT-4o,GPT-3.5,Punjabi,30,0.633,0.933,61.8,38.2,38.6
